QUEST_JOBSTEP_20150317_000001	Bokor. Você escolheu um caminho difícil. {nl}Consulte as instruções no seu Diário de Aventura e faça seu próprio boneco.	보코르라. 어려운 길을 택하셨군요.{nl}모험일지의 제작법을 참고하여 당신만의 인형을 만들어 오세요.				보코르 마스터
QUEST_JOBSTEP_20150317_000002	Você deve fazer um boneco sozinho. {nl}Consulte seu Diário de Aventura sobre como fazer o boneco.	스스로 구하지 않으면 얻을 수 없습니다.{nl}인형의 제조법은 당신의 모험일지를 참고하세요.				보코르 마스터
QUEST_JOBSTEP_20150317_000003	Parabéns, um novo Bokor nasceu.{nl}Quando escolhi o caminho de Bokor, comecei criando meu próprio boneco.	새로운 보코르의 탄생을 축하합니다.{nl}제가 보코르의 길을 선택했을 땐 나만의 인형을 만드는 것부터 시작했답니다.{nl}				
QUEST_JOBSTEP_20150317_000004	Mestre Peltasta	펠타스타 마스터				
QUEST_JOBSTEP_20150317_000005	Se quiser receber meus ensinamentos, você precisa provar o seu valor primeiro.{nl}Aqui está um desafio: Derrote alguns Vubbes no 1º andar da Crystal Mine.	그대가 정녕 제게 가르침을 받고 싶다면 그 자격이 있는지 증명해야 할 것입니다.{nl}과제를 드리지요. 수정광산 1층을 점령하고 있는 부베들을 처치하십시오.{nl}{nl}				
QUEST_JOBSTEP_20150317_000006	Como você quer conquistar o título de Peltasta se não consegue nem dar conta disso?	그 정도도 해내지 못하고서야 어찌 펠타스타의 이름을 짊어진단 말입니까?				펠타스타 마스터
QUEST_JOBSTEP_20150317_000007	Ótimo. {nl}Espero que seu crescimento lhe permita salvar o mundo.	좋습니다.{nl}그대의 성장이 세상을 지키는 일이 되길 바라겠습니다.				펠타스타 마스터
QUEST_JOBSTEP_20150317_000008	Mestre Highlander	하이랜더 마스터				
QUEST_JOBSTEP_20150317_000009	Estou muito grato que você deseja ser o sucessor da minha espada, mas suspeito que não seguirá meus ensinamentos corretamente.{nl}Para testá-lo, enviarei você para derrotar alguns Vubbes que estão ocupando o 1º andar da Crystal Mine.	그대가 나의 검법을 계승하겠다는 건 참으로 고마운 일이나 제대로 따라올 수 있을지 의문이 드는군.{nl}수정광산 1층을 점거하고 있는 부베들을 처치하는 것으로 그대를 시험해 보겠다.				
QUEST_JOBSTEP_20150317_000010	Depressa. {nl} Embora esse seja seu desafio inicial, os Vubbes são uma ameaça para a Miners' Village.	서둘러라.{nl}비록 입문 과제이지만 그 부베들이 광산 마을의 위협이 되는 건 사실이니까.				하이랜더 마스터
QUEST_JOBSTEP_20150317_000011	Bom trabalho, você concluiu sua iniciação para se tornar um montanhês. {nl} Continue com a dedicação e o trabalho duro.	결과가 좋군. 그대의 하이랜더 입문을 허락하겠다.{nl}앞으로도 열심히 정진하도록.				하이랜더 마스터
QUEST_JOBSTEP_20150317_000012	Mestre Pyromancer	파이로맨서 마스터				
QUEST_JOBSTEP_20150317_000013	Posso ver que você deseja aprender magia comigo, mas não posso ensinar qualquer um. {nl}Vou ver como você pode ajudar a minha pesquisa e depois decidirei.	저에게 마법을 배우겠다는 열의는 알겠습니다만, 아무에게나 가르쳐 드릴 순 없습니다.{nl}제 연구를 얼마나 잘 보조해 주시는지에 따라서 결정하겠어요.				
