SKILL_20150317_000001	Ataque	공격				
SKILL_20150317_000002	[Elite Kepa] 1 time, Physical, Poison Property, Strike	[엘리트케파] 1회, 물리, 독속성, 떄리기				
SKILL_20150317_000003	[Rafflesia] Spread Poison	[라플레시아] 주변으로 독 날리기				
SKILL_20150317_000004	[Rafflesia] Poison Bomb	[라플레시아] 독 포탄 날리기				
SKILL_20150317_000005	[Raffly] Physical, Strike, Poison Property, Attack 1 time	[라플리] 물리, 타격, 독속성, 1회 공격				
SKILL_20150317_000006	[Raffly] Physical, Strike, Poison Property, Jump Attack 1 time	[라플리] 물리, 타격, 독속성, 1회 점프해서 덮치는 공격				
SKILL_20150317_000007	[Puragi] Physical, Strike, Poison Property, Normal Attack 1 time	[푸라기] 물리, 떄리기, 독속성, 1회 일반 공격, 전방 부채꼴				
SKILL_20150317_000008	[Puragi] Physical, Strike, Poison Property, Attack 1 time	[푸라기] 물리, 타격, 독속성, 1회 공격				
SKILL_20150317_000009	[Puragi] Physical, Strike, Poison Property, Stomp 1 time	[푸라기] 물리, 타격, 독속성, 1회 내려치기				
SKILL_20150317_000010	[Zigri] Normal Attack, Conical AoE	[지그리] 일반 공격, 전방 부채꼴				
SKILL_20150317_000011	[Zigri] Spinning Strike	[지그리] 회전공격 가하기				
SKILL_20150317_000012	[Zigri] Jump and Stomping Shock	[지그리] 점프해서 충격파 보내기				
SKILL_20150317_000013	[Fisherman] Physical, Strike, Ice Property, Strike with Fishing Rod	[피셔맨] 물리, 타격, 수속성, 1회 낚시대로 내려치기				
SKILL_20150317_000014	[Fisherman] Magic, Buff, Magic, Buff Skill	[피셔맨] 매직, 버프, 매직, ] 버프 스킬				
SKILL_20150317_000015	[Green Pokuborn] Physical, Pierce, Lightning Property, Horn Attack 1 time	[초록 포쿠본] 물리, 찌르기, 뇌속성, 1회 뿔로 들이받기				
SKILL_20150317_000016	[Bushspider] Physical, Strike, Earth Property, Attack 1 time	[크루마보] 물리, 타격, 땅속성, 1회 공격				
SKILL_20150317_000017	[Fragaras] Quick bite	[프라가라스] 빠르게 물어뜯기				
SKILL_20150317_000018	[Fragaras] Large Chomp	[프라가라스] 크게 물어뜯기				
SKILL_20150317_000019	[Fragaras] Normal Attack, Conical AoE	[프라가라스] 일반 공격, 전방 부채꼴				
SKILL_20150317_000020	Basic Normal Attack	베이직 일반 공격				
SKILL_20150317_000021	[Meduja] Magic, Magic, Lightning Property Attack 1 time	[미듀쟈] 매직, 매직, 뇌속성 1회 공격				
