UI_20150317_000001	{@st41b}Aprender Atributos{nl}dos Mestres de cada classe.{/}
UI_20150317_000002	{@st43}Lista de Atributos {/}
UI_20150317_000003	{@st59}Fechar Lista de Atributos {/}
UI_20150317_000004	{@st43}Aprender Atributos{/}
UI_20150317_000005	{@st59}Fechar Atributos{/}
UI_20150317_000006	{@st41b}Capital{/}
UI_20150317_000007	Minhas Conquistas
UI_20150317_000008	Classificação do Servidor
UI_20150317_000009	{@st59}Um evento inesperado está disponível.{/}
UI_20150317_000010	{@st59}Tem uma nova mensagem de Ajuda{/}
UI_20150317_000011	{@st41}Você quer mesmo confeccionar esse tipo de flecha?{/}
UI_20150317_000012	{@st41b}Uma vez{/}
UI_20150317_000013	{@st41b}Tudo{/}
UI_20150317_000014	{@st41b}Pausar{/}
UI_20150317_000015	{@st43}Diário de Aventura{/}
UI_20150317_000016	{@st43}Casa de Leilões{/}
UI_20150317_000017	{@st59}Fechar Casa de Leilões{/}
UI_20150317_000018	{memo X}{@st41b}Itens Vendidos: ×%s, Itens Não Vendidos:
UI_20150317_000019	{@st43}{s22}Leilão de Item{/}
UI_20150317_000020	{@st59}Fechar Informações da Quest{/}
UI_20150317_000021	Avaliar
UI_20150317_000022	{@st41b}Tempo Restante
UI_20150317_000023	3 horas 16 minutos
UI_20150317_000024	{@st41b}Preço Inicial
UI_20150317_000025	{@st41b}Lances
UI_20150317_000026	{@st41b}Preço Atual
UI_20150317_000027	{@st41b}Preço do Lance
UI_20150317_000028	{@st41b}Preço Mínimo do Lance {@st57}%s{@st41b}de prata{/}
UI_20150317_000029	{@st41b}Lance{/}
UI_20150317_000030	{@st43b}Comprar Já!{nl}{img icon_item_silver 20 20}{@st57}%s{/}
UI_20150317_000031	{@st44}Configurações de Autorização{/}
UI_20150317_000032	{@st45}Nome: %s{/}
UI_20150317_000033	{@st45}Depósito do Grupo{/}
UI_20150317_000034	{@st49}Nada
UI_20150317_000035	{@st49}Armazenar
UI_20150317_000036	{@st49}Repor
UI_20150317_000037	{@st45}Avaliar{/}
UI_20150317_000038	{@st49}Criar
UI_20150317_000039	{@st49}Excluir
UI_20150317_000040	{@st44}Salvar{/}
UI_20150317_000041	{@st44}Cancelar{/}
UI_20150317_000042	{@st43}{s22}Loja de Cabelo{/}
UI_20150317_000043	{@st59}Penteado Anterior{/}
UI_20150317_000044	{@st59}Próximo penteado{/}
UI_20150317_000045	{@st41b} Mudar {s18} (requer 100 iCoins) {/}
UI_20150317_000046	{@st59}Mudar para penteado selecionado.{/}
UI_20150317_000047	{@st41}Cancelar
UI_20150317_000048	{@st43}Mercado Negro{/}
UI_20150317_000049	Nome do Livro
UI_20150317_000050	{@St59}Parar leitura{/}
UI_20150317_000051	{@st59}Página Anterior{/}
UI_20150317_000052	{@st59}Próxima Página{/}
UI_20150317_000053	{@st47}%s apareceu!
UI_20150317_000054	{@st43}Pontuação{/}
UI_20150317_000055	Dano Recebido
UI_20150317_000056	Bônus de Técnica
UI_20150317_000057	Bônus de Evasão
UI_20150317_000058	Remover Tempo
UI_20150317_000059	Pontuação Total
UI_20150317_000060	{@st42}Tempo Transcorrido
UI_20150317_000061	10 minutos
UI_20150317_000062	10 segundos
UI_20150317_000063	{memo X}{@st44}Concluir
UI_20150317_000064	{@st59}Fechar Vendedora Automática{/}
UI_20150317_000065	{@st43}Vendedora Automática de Bônus
UI_20150317_000066	Nome da Vendedora Automática
UI_20150317_000067	{memo X}{@st43}Registrar
UI_20150317_000068	{memo X}{@st43}Cancelar
UI_20150317_000069	Vendedora Automática de Bônus
UI_20150317_000070	{@st59}Fechar a Vendedora Automática de Bônus.
UI_20150317_000071	{@st59}Vendedora Automática de Bônus{nl} - Você gasta prata para receber bônus de outro jogador.
UI_20150317_000072	Menu de Transporte
UI_20150317_000073	{ol}{s22}Desembarcar{/}
UI_20150317_000074	Invocar
UI_20150317_000075	{@st43}Configurações do Jogo{/}
UI_20150317_000076	{@st64}Use as teclas direcionais para selecionar uma célula!
UI_20150317_000077	{@st43}Informações de Progresso {/}
UI_20150317_000078	{@st43}Selecionar Classe
UI_20150317_000079	Psiônico
UI_20150317_000080	{@st42}%s Círculo {/}
UI_20150317_000081	Quantos círculos
UI_20150317_000082	Exibe uma descrição resumida da classe.
UI_20150317_000083	{memo X}{@st41b}Ataque {@sti7}%s{/}
UI_20150317_000084	{memo X}{@st41b}Apoio {@sti7}%s{/}
UI_20150317_000085	{memo X}{@st41b}Dificuldade{@sti7}%s{/}
UI_20150317_000086	{@st59}Fechar Informações da Classe{/}
UI_20150317_000087	Alerta de Progresso
UI_20150317_000088	{@st43} Progresso
UI_20150317_000089	{@sti7}{s14} Personagem {/}
UI_20150317_000090	{@sti8}{s14} Classe {/}
UI_20150317_000091	{@st44}Chat{/}
UI_20150317_000092	Para: WWWWWWWW e 1 outro
UI_20150317_000093	{memo X}Geral: /s chat {nl} Discussão: /y chat {nl} Grupo: /p chat{nl} Fofoca: /w chat de nome de usuário do personagem
UI_20150317_000094	{@st41}Chat Geral{/}
